2022-05-14 19:08:32,619 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:08:32,619 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:08:32,831 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:08:32,835 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:08:32,835 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:08:32,995 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:08:33,031 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:08:33,032 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:08:33,196 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:08:33,203 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:08:33,203 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:08:33,295 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:08:33,296 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:08:33,296 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:08:33,371 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:08:33,394 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:08:33,394 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:15:46,143 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:15:46,175 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:15:46,175 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:16:00,320 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:16:00,391 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:16:00,391 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:17:50,611 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:17:50,613 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:17:50,614 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:17:52,141 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:17:52,142 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:17:52,142 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:17:55,504 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:17:55,549 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:17:55,550 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:18:28,206 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:18:28,241 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:18:28,241 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:18:34,389 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:18:34,390 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:18:34,391 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:18:36,098 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:18:36,100 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:18:36,100 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
2022-05-14 19:18:38,440 INFO    MainThread:12200 [wandb_init.py:_resume_backend():350] resuming backend
2022-05-14 19:18:38,566 INFO    MainThread:12200 [wandb_init.py:_pause_backend():341] pausing backend
2022-05-14 19:18:38,567 INFO    MainThread:12200 [jupyter.py:save_ipynb():377] not saving jupyter notebook
